
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:    11657
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     2108
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     2108
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1569
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  39 7.2879707e-001 1.38e-001 2.61e+003  -4.0 7.26e-002    -  7.22e-001 8.86e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40 6.3194802e-001 2.08e-001 3.56e+003  -4.8 2.88e-001    -  2.02e-001 3.44e-001h  1
  41 7.1864817e-001 2.36e-001 7.97e+002  -3.7 1.64e-001    -  2.22e-001 5.00e-001h  2
  42 6.6241243e-001 3.97e-001 1.11e+003  -3.9 1.83e-001    -  4.52e-001 2.61e-001h  1
  43 5.6703735e-001 1.53e-001 1.84e+001  -3.9 5.35e-002    -  1.00e+000 1.00e+000h  1
  44 5.9212959e-001 1.70e-001 5.80e+002  -3.7 1.22e-001    -  3.19e-001 2.54e-001H  1
  45 5.7390620e-001 1.36e-001 8.29e+002  -3.9 6.39e-002    -  6.23e-001 8.85e-001h  1
  46 6.9346571e-001 1.49e-001 2.53e+003  -3.7 8.38e-002    -  7.42e-001 1.00e+000f  1
  47 6.7448102e-001 1.84e-001 2.21e+003  -3.8 1.16e-001    -  8.04e-001 4.36e-001h  1
  48 5.4377182e-001 1.89e-001 4.86e+002  -3.8 7.12e-002    -  8.65e-001 1.00e+000h  1
  49 5.3544870e-001 1.30e-001 2.23e+002  -3.8 1.30e-001    -  7.15e-001 5.00e-001h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 5.4528002e-001 2.36e-001 1.51e+001  -3.9 1.03e-001    -  1.00e+000 1.00e+000h  1
  51 4.7783475e-001 1.91e-001 5.01e+002  -4.3 2.37e-001    -  4.49e-001 5.09e-001h  1
  52 4.4329084e-001 1.47e-001 3.39e+002  -4.0 2.26e-001    -  6.25e-001 2.81e-001h  2
  53 4.2910940e-001 7.82e-002 1.28e+002  -4.0 8.41e-002    -  1.00e+000 6.31e-001h  1
  54 5.9294727e-001 2.86e-001 1.82e+001  -3.8 9.67e-002    -  1.00e+000 1.00e+000h  1
  55 5.5602018e-001 3.33e-001 1.52e+003  -3.9 1.66e-001    -  7.40e-001 2.90e-001h  2
  56 4.7081356e-001 3.50e-001 6.59e+002  -3.9 2.04e-001    -  1.00e+000 7.25e-001h  1
  57 5.1282133e-001 3.38e-001 3.63e+002  -3.9 2.03e-001    -  9.60e-001 4.46e-001H  1
  58 4.5325851e-001 1.69e-001 7.86e+000  -3.9 3.00e-002    -  3.99e-001 1.00e+000h  1
  59 4.6448835e-001 9.00e-002 3.72e+000  -3.9 2.03e-002    -  1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 3.9255142e-001 1.18e-001 8.20e+000  -4.2 6.66e-002    -  1.00e+000 1.00e+000h  1
  61 3.4677482e-001 3.57e-001 1.07e+003  -4.4 2.53e-001    -  8.72e-001 4.82e-001h  1
  62 3.4741860e-001 2.90e-001 3.97e+002  -4.1 3.27e-001    -  4.63e-001 4.00e-001h  2
  63 3.3600566e-001 1.89e-001 2.64e+002  -4.3 1.67e-001    -  5.91e-001 5.26e-001h  1
  64 3.0705496e-001 1.47e-001 2.62e+002 -10.3 8.12e-002    -  2.34e-001 2.24e-001h  1
